,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
255,Mahindra,Thar,4X4,Delhi,Diesel,Manual,First,2012,74000,105,7,7.003301887
256,Toyota,Innova,2.5 GX (Diesel) 7 Seater,Delhi,Diesel,Manual,First,2014,77901,100.6,7,9.713490566
257,Maruti,Swift,Dzire VXi,Kolkata,Petrol,Manual,First,2010,58186,85.8,5,2.083396226
258,Chevrolet,Aveo,1.6 LT,Mumbai,Petrol,Manual,First,2010,30000,102,5,2.331886792
260,Jaguar,XE,Portfolio,Coimbatore,Petrol,Automatic,First,2018,14730,246.74,5,56.73103774
261,Maruti,Alto,LXi,Jaipur,Petrol,Manual,Second,2013,40000,46.3,5,2.301981132
262,Chevrolet,Aveo,U-VA 1.2 LS,Chennai,Petrol,Manual,Second,2007,88107,74.9,5,1.378679245
263,Volkswagen,Vento,1.5 TDI Highline,Delhi,Diesel,Manual,Second,2012,53226,108.5,5,4.056226415
264,Maruti,Swift,VDI BSIV,Hyderabad,Diesel,Manual,First,2013,76000,74,5,4.780188679
265,Toyota,Innova,2.5 V Diesel 8-seater,Hyderabad,Diesel,Manual,Second,2008,200000,102,8,5.64009434
266,Mercedes-Benz,E-Class,2009-2013 E250 CDI Avantgarde,Hyderabad,Diesel,Automatic,First,2013,73000,203,5,23.2340566
267,Hyundai,Accent,GLE 1,Jaipur,Petrol,Manual,Second,2009,77200,94,5,2.078773585
268,Audi,A4,New 2.0 TDI Multitronic,Delhi,Diesel,Automatic,Second,2012,67000,140.8,5,11.22582884
269,Chevrolet,Tavera,LS B3 10 Seats BSIII,Hyderabad,Diesel,Manual,Second,2005,150000,80,10,3.212264151
270,Mahindra,Xylo,E8 ABS BS IV,Jaipur,Diesel,Manual,Second,2009,145278,112,8,4.487358491
271,Hyundai,i20,Active SX Diesel,Chennai,Diesel,Manual,First,2015,62083,88.76,5,5.791509434
272,Honda,Civic,2006-2010 1.8 V MT,Pune,Petrol,Manual,First,2010,61696,130,5,3.302735849
273,Ford,EcoSport,1.5 Diesel Titanium,Ahmedabad,Diesel,Manual,First,2017,28000,98.96,5,8.662075472
274,Mercedes-Benz,New,C-Class 220 CDI AT,Coimbatore,Diesel,Automatic,First,2013,50142,170,5,20.03584906
275,Skoda,Superb,Elegance 1.8 TSI AT,Mumbai,Petrol,Automatic,First,2014,45000,157.75,5,12.76339623
276,Skoda,Rapid,1.5 TDI Elegance,Pune,Diesel,Manual,First,2014,97513,103.52,5,5.263584906
277,Mercedes-Benz,E-Class,2009-2013 E200 CGI Blue Efficiency,Mumbai,Petrol,Automatic,Second,2011,55000,185,5,7.006132075
278,Maruti,800,AC,Hyderabad,Petrol,Manual,Second,2004,82000,37,4,1.00245283
279,Maruti,Swift,LDI,Delhi,Diesel,Manual,First,2013,71501,74,5,3.824056604
280,Honda,BR-V,i-DTEC S MT,Hyderabad,Diesel,Manual,First,2017,23000,98.6,7,8.334622642
281,Audi,A6,2011-2015 2.0 TDI Technology,Kochi,Diesel,Automatic,First,2015,66095,174.33,5,22.31132075
282,Toyota,Fortuner,3.0 Diesel,Mumbai,Diesel,Manual,First,2014,49500,171,7,19.70009434
283,Toyota,Camry,MT with Moonroof,Chennai,Petrol,Manual,First,2009,90000,164.7,5,5.941037736
284,Maruti,Ignis,1.2 Delta,Mumbai,Petrol,Manual,First,2017,25384,81.8,5,5.847075472
285,Hyundai,Verna,1.6 VTVT S,Delhi,Petrol,Manual,Second,2016,27529,121.3,5,7.992264151
286,Honda,City,V MT,Kochi,Petrol,Manual,First,2012,69297,116.3,5,5.329433962
287,Honda,City,1.5 E MT,Hyderabad,Petrol,Manual,First,2009,66000,118,5,3.30745283
288,Mahindra,Verito,1.5 D4 BSIV,Hyderabad,Diesel,Manual,First,2012,20000,65,5,3.264339623
289,Mercedes-Benz,GL-Class,350 CDI Blue Efficiency,Chennai,Diesel,Automatic,First,2015,67000,254.8,7,46.32858491
290,Hyundai,EON,D Lite Plus,Coimbatore,Petrol,Manual,First,2015,36933,55.2,5,3.641509434
291,Toyota,Innova,2.5 G (Diesel) 8 Seater,Mumbai,Diesel,Manual,First,2007,194000,100.6,8,5.268396226
292,Maruti,Ertiga,VDI,Kolkata,Diesel,Manual,First,2013,42200,88.76,7,4.936037736
293,Audi,Q7,3.0 TDI Quattro Premium Plus,Coimbatore,Diesel,Automatic,Second,2015,53093,241.4,7,41.72575472
294,Honda,City,1.5 E MT,Pune,Petrol,Manual,Third,2012,88000,118,5,5.054811321
295,Maruti,Alto,K10 LXI,Kochi,Petrol,Manual,First,2017,42954,67.1,5,4.099716981
296,Tata,Indica,V2 eLX,Chennai,Diesel,Manual,First,2015,106000,69,5,3.223773585
297,BMW,5,Series 2013-2017 520d Luxury Line,Kochi,Diesel,Automatic,First,2015,41700,190,5,24.08349057
298,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde,Coimbatore,Diesel,Automatic,First,2018,34464,170,5,33.73132075
299,Chevrolet,Beat,LT,Ahmedabad,Petrol,Manual,First,2010,15000,76.8,5,2.161226415
300,Maruti,Zen,Estilo LXI BS IV,Pune,Petrol,Manual,Second,2010,70000,67.1,5,2.197358491
301,Mahindra,XUV500,W8 4WD,Hyderabad,Diesel,Manual,First,2017,119256,140,7,16.9054717
302,Honda,City,1.5 V MT,Coimbatore,Petrol,Manual,First,2011,50036,118,5,4.01509434
303,Toyota,Innova,2.5 VX (Diesel) 7 Seater,Ahmedabad,Diesel,Manual,First,2013,58000,100.6,7,9.403207547
304,Hyundai,i20,1.2 Magna,Pune,Petrol,Manual,First,2011,75000,80,5,2.914150943
305,Maruti,Alto,K10 2010-2014 VXI,Hyderabad,Petrol,Manual,First,2013,53313,67.1,5,2.922264151
306,Toyota,Innova,2.5 G (Diesel) 8 Seater,Kolkata,Diesel,Manual,First,2015,73000,100.6,8,10.99433962
307,Nissan,Micra,Diesel XV,Kochi,Diesel,Manual,First,2013,83989,63.1,5,3.414245283
308,Hyundai,Creta,1.6 CRDi SX,Chennai,Diesel,Manual,First,2015,86247,126.2,5,9.493207547
309,Toyota,Innova,2.5 G (Diesel) 8 Seater,Mumbai,Diesel,Manual,First,2016,24000,100.6,8,11.64915094
310,Mercedes-Benz,E-Class,2009-2013 E250 CDI Blue Efficiency,Hyderabad,Diesel,Automatic,First,2010,58000,203,5,9.828962264
311,Hyundai,i20,Asta 1.2,Kolkata,Petrol,Manual,First,2015,33000,81.83,5,4.22754717
312,Honda,Accord,VTi-L (AT),Hyderabad,Petrol,Automatic,First,2005,100000,142,5,5.980283019
313,Toyota,Innova,Crysta 2.4 ZX MT,Hyderabad,Diesel,Manual,First,2017,65896,147.8,7,17.17481132
314,Hyundai,i20,Asta Option 1.4 CRDi,Chennai,Diesel,Manual,First,2016,120000,88.73,5,5.617264151
315,Mahindra,Verito,Vibe 1.5 dCi D6,Mumbai,Diesel,Manual,First,2013,26000,64.1,5,3.388396226
316,Maruti,Eeco,5 Seater AC,Chennai,Petrol,Manual,Second,2012,62300,73,5,3.349339623
317,Toyota,Corolla,Altis 1.8 G,Kochi,Petrol,Manual,First,2012,77801,138.03,5,6.315849057
318,Toyota,Corolla,Altis VL AT,Mumbai,Petrol,Automatic,First,2015,42000,138.03,5,13.47886792
319,Mercedes-Benz,A,Class A180 Sport,Bangalore,Petrol,Automatic,Second,2013,35000,120.7,5,14.43959119
320,Hyundai,i20,Asta 1.4 CRDi,Kolkata,Diesel,Manual,First,2016,30134,88.73,5,6.004339623
321,Honda,Accord,2.4 M/T,Delhi,Petrol,Manual,First,2012,79038,177.6,5,7.829811321
322,Honda,Accord,2.4 AT,Mumbai,Petrol,Automatic,Second,2009,80000,177.6,5,5.243867925
323,Mahindra,Bolero,SLE BSIII,Hyderabad,Diesel,Manual,First,2012,75000,62.1,7,3.66490566
324,Maruti,Ritz,LDi,Bangalore,Diesel,Manual,First,2010,80000,73.9,5,2.994685535
325,Skoda,Superb,Elegance 1.8 TSI AT,Delhi,Petrol,Automatic,First,2014,84419,157.75,5,11.90566038
326,Honda,Amaze,S i-Vtech,Kolkata,Petrol,Manual,First,2013,70200,86.7,5,3.356509434
327,Volkswagen,Vento,Petrol Highline,Chennai,Petrol,Manual,Second,2013,98000,103.6,5,4.486415094
328,Maruti,Ritz,LDi,Chennai,Diesel,Manual,First,2016,131503,73.94,5,4.265660377
329,Honda,City,1.5 S MT,Jaipur,Petrol,Manual,First,2011,54652,118,5,4.149433962
330,Volkswagen,Jetta,2007-2011 1.6 Trendline,Mumbai,Petrol,Manual,Second,2010,92000,102,5,2.052735849
331,Ford,Figo,Petrol ZXI,Kolkata,Petrol,Manual,First,2010,44287,70,5,2.009433962
332,Toyota,Innova,2.5 G (Diesel) 7 Seater,Pune,Diesel,Manual,First,2015,205000,100.6,7,10.78396226
333,Hyundai,Elite,i20 Asta Option,Hyderabad,Petrol,Manual,First,2015,48000,81.86,5,5.161415094
334,Mahindra,KUV,100 mFALCON D75 K2,Mumbai,Diesel,Manual,First,2016,18000,77,6,5.325471698
335,Bentley,Flying,Spur W12,Bangalore,Petrol,Automatic,Second,2008,31200,616,5,58.86915094
336,Honda,City,1.5 V MT,Pune,Petrol,Manual,First,2009,72000,118,5,3.050943396
337,Hyundai,i20,Magna,Mumbai,Petrol,Manual,First,2009,85000,80,5,2.704622642
338,Honda,City,1.5 V MT,Kolkata,Petrol,Manual,First,2010,27000,118,5,4.843584906
339,Toyota,Fortuner,2.8 2WD MT,Mumbai,Diesel,Manual,First,2012,126000,174.5,7,12.1004717
340,Tata,Indica,V2 DLS BSIII,Pune,Diesel,Manual,First,2017,50000,48.21,5,3.13490566
341,Honda,Amaze,S i-Vtech,Mumbai,Petrol,Manual,Second,2013,58811,86.7,5,3.928867925
342,Volkswagen,Polo,Diesel Highline 1.2L,Pune,Diesel,Manual,First,2013,52196,73.9,5,3.950849057
343,Nissan,Micra,Active XV,Coimbatore,Petrol,Manual,First,2017,45105,67.04,5,4.320566038
344,Hyundai,Grand,i10 Sportz,Hyderabad,Petrol,Manual,Second,2015,25160,82,5,5.026320755
345,Tata,Tigor,1.2 Revotron XZ Option,Hyderabad,Petrol,Manual,First,2017,18000,84,5,5.599716981
346,Honda,Accord,2001-2003 2.3 VTI L MT,Bangalore,Petrol,Manual,First,2007,74000,144,5,4.99043239
347,Mahindra,Xylo,E4,Chennai,Diesel,Manual,First,2009,67700,112,7,3.831320755
348,Land,Rover,Freelander 2 S Business Edition,Kochi,Diesel,Automatic,First,2015,61062,147.51,5,18.9109434
349,Toyota,Innova,2.5 VX (Diesel) 7 Seater,Kolkata,Diesel,Manual,First,2016,105000,100.6,7,10.92509434
350,Tata,Indigo,eCS eLX BS IV,Pune,Diesel,Manual,First,2013,155550,69.01,5,3.402830189
351,Maruti,Vitara,Brezza VDi Option,Delhi,Diesel,Manual,First,2016,66000,88.5,5,7.424433962
352,Honda,City,1.5 V MT,Kochi,Petrol,Manual,Second,2012,93884,118,5,4.871037736
353,Fiat,Linea,Emotion (Diesel),Mumbai,Diesel,Manual,First,2009,200000,91.7,5,2.594339623
354,Tata,Tiago,1.2 Revotron XZ,Kolkata,Petrol,Manual,First,2016,57200,84,5,4.346320755
355,Volkswagen,Polo,Diesel Comfortline 1.2L,Hyderabad,Diesel,Manual,First,2013,93568,73.9,5,4.106886792
356,Maruti,Wagon,R VXI BS IV,Kolkata,Petrol,Manual,First,2014,54000,67.04,5,3.087924528
357,Hyundai,Creta,1.6 CRDi AT SX Plus,Bangalore,Diesel,Automatic,First,2016,40571,126.2,5,11.79990566
358,Audi,A4,35 TDI Technology,Hyderabad,Diesel,Automatic,First,2015,59000,187.74,5,27.15575472
359,BMW,X1,xDrive 20d xLine,Coimbatore,Diesel,Automatic,First,2017,17273,190,5,38.77518868
360,Ford,Endeavour,3.0L AT 4x2,Mumbai,Diesel,Automatic,Second,2011,100077,153.86,7,7.170377358
361,Hyundai,i10,Magna AT,Kochi,Petrol,Automatic,First,2011,39934,80,5,3.440754717
362,Maruti,Vitara,Brezza LDi,Bangalore,Diesel,Manual,First,2016,46000,88.5,5,7.653584906
363,Honda,City,1.5 V MT,Coimbatore,Petrol,Manual,First,2016,30842,118,5,8.386981132
364,Mercedes-Benz,New,C-Class 200 K AT,Mumbai,Petrol,Automatic,Second,2005,65000,178,5,5.160377358
365,Volvo,XC90,2007-2015 D5 AWD,Bangalore,Diesel,Manual,First,2016,70000,200,7,26.56924528
366,Toyota,Fortuner,3.0 Diesel,Chennai,Diesel,Manual,Second,2011,150152,171,7,8.250660377
368,Hyundai,Santro,Xing GLS CNG,Bangalore,CNG,Manual,First,2011,43985,62.1,5,2.392264151
369,BMW,X6,xDrive30d,Coimbatore,Diesel,Automatic,First,2014,58598,241,4,34.90301887
370,Tata,Indigo,CS eVX,Pune,Diesel,Manual,First,2016,100000,69.01,5,3.221509434
371,Audi,Q5,30 TDI quattro Premium Plus,Jaipur,Diesel,Automatic,First,2016,35000,174.3,5,28.36363208
372,Hyundai,i10,Sportz 1.2,Pune,Petrol,Manual,First,2008,84500,78.9,5,2.130754717
373,Maruti,Baleno,Delta 1.2,Kolkata,Petrol,Manual,First,2018,18006,83.1,5,6.888490566
374,Maruti,Swift,VDI,Hyderabad,Diesel,Manual,First,2013,99000,74,5,4.582169811
375,Maruti,Eeco,5 Seater AC,Delhi,Petrol,Manual,First,2014,51200,73,5,3.561981132
376,Toyota,Land,Cruiser Prado VX L,Pune,Diesel,Automatic,First,2014,130000,170.3,7,18.1029717
377,Hyundai,Tucson,2.0 e-VGT 4WD AT GLS,Ahmedabad,Diesel,Automatic,First,2017,25000,182.46,5,33.80075472
378,Maruti,Baleno,Delta,Kochi,Petrol,Manual,First,2017,32352,83.1,5,6.548679245
379,Hyundai,i10,Sportz 1.2,Bangalore,Petrol,Manual,First,2011,20000,78.9,5,3.762830189
380,Audi,A4,2.0 TDI,Bangalore,Diesel,Automatic,Second,2013,46000,147.51,5,16.69099057
381,Maruti,Dzire,AMT ZXI Plus,Mumbai,Petrol,Automatic,First,2018,12500,81.8,5,7.764245283
382,Toyota,Innova,2.5 GX 8 STR,Delhi,Diesel,Manual,Third,2011,53138,102,8,6.379056604
383,Maruti,Swift,Dzire Tour LDI,Pune,Diesel,Manual,Second,2013,170000,74,5,3.932735849
384,Maruti,Swift,LDI,Kolkata,Diesel,Manual,First,2012,38583,74,5,3.012358491
385,Maruti,Wagon,R VXI AMT Opt,Hyderabad,Petrol,Automatic,First,2016,26000,67,5,4.607358491
386,Hyundai,Creta,1.6 SX Plus Dual Tone Petrol,Coimbatore,Petrol,Manual,First,2017,22865,121.3,5,11.17858491
387,Skoda,Laura,L and K MT,Kolkata,Diesel,Manual,First,2013,45000,106,5,5.588207547
388,Maruti,Swift,LXI Option,Kochi,Petrol,Manual,First,2017,62889,81.8,5,5.147735849
389,Maruti,Omni,MPI CARGO BSIV,Pune,Petrol,Manual,First,2013,153000,34.2,5,1.941037736
390,Maruti,Swift,VDI,Ahmedabad,Diesel,Manual,First,2016,67000,74,5,5.348018868
391,Honda,Amaze,S AT i-Vtech,Mumbai,Petrol,Automatic,First,2014,39000,86.7,5,4.423679245
392,Toyota,Corolla,H2,Chennai,Petrol,Manual,Second,2006,164000,125,5,2.486415094
393,Maruti,Swift,Dzire Vdi BSIV,Coimbatore,Diesel,Manual,First,2018,57178,73.9,5,5.870283019
394,Audi,A6,2011-2015 2.0 TDI Premium Plus,Delhi,Diesel,Automatic,First,2013,40000,174.33,5,20.3045283
395,Chevrolet,Spark,1.0 LT,Mumbai,Petrol,Manual,First,2007,40000,62,5,1.218207547
396,Hyundai,Verna,CRDi ABS,Mumbai,Diesel,Manual,Third,2007,89564,110,5,2.980283019
397,Maruti,Ertiga,VXI,Delhi,Petrol,Manual,First,2012,66727,93.7,7,4.882169811
398,Audi,Q3,2012-2015 2.0 TDI Quattro Premium Plus,Mumbai,Diesel,Automatic,Second,2013,75000,174.33,5,19.85716981
399,Chevrolet,Cruze,LTZ AT,Coimbatore,Diesel,Automatic,First,2017,31056,163.7,5,23.1104717
400,Volkswagen,Vento,Petrol Highline,Pune,Petrol,Manual,First,2011,61000,103.6,5,3.200377358
401,Hyundai,Xcent,1.2 Kappa AT SX Option,Kochi,Petrol,Automatic,First,2016,34782,82,5,5.865283019
402,Hyundai,i10,Sportz 1.2,Coimbatore,Petrol,Manual,First,2012,31736,78.9,5,4.197735849
403,Nissan,Terrano,XV D Pre,Pune,Diesel,Manual,First,2014,75000,108.5,5,6.407735849
404,Mahindra,Thar,CRDe AC,Mumbai,Diesel,Manual,First,2014,15000,105,6,7.149716981
405,Ford,Ecosport,1.5 DV5 MT Ambiente,Coimbatore,Diesel,Manual,First,2016,38503,89.84,5,8.362264151
406,Honda,BRV,i-DTEC V MT,Coimbatore,Diesel,Manual,First,2017,45353,98.6,7,8.238584906
407,Land,Rover,Range Rover HSE,Hyderabad,Diesel,Automatic,First,2015,30000,187.7,5,31.36
408,Toyota,Etios,G,Pune,Petrol,Manual,Second,2011,69470,88.73,5,2.592264151
410,Volkswagen,Polo,ALLSTAR 1.2 MPI,Coimbatore,Petrol,Manual,First,2017,25087,74,5,6.350660377
411,Toyota,Innova,2.5 VX (Diesel) 7 Seater BS IV,Hyderabad,Diesel,Manual,First,2015,134000,102,7,11.07018868
412,Chevrolet,Cruze,LTZ AT,Coimbatore,Diesel,Automatic,Third,2015,54955,163.7,5,18.9754717
413,Hyundai,Verna,CRDi 1.6 SX Option,Mumbai,Diesel,Manual,First,2017,28000,126.2,5,10.19566038
414,Honda,Amaze,S i-Dtech,Ahmedabad,Diesel,Manual,First,2015,45250,98.6,5,5.161226415
415,Land,Rover,Discovery 4 SDV6 SE,Kochi,Diesel,Automatic,Second,2012,89190,245.41,7,31.24641509
416,Honda,City,i DTec VX Option BL,Coimbatore,Diesel,Manual,First,2017,48184,98.6,5,8.281792453
417,Maruti,Swift,Dzire VDI,Kolkata,Diesel,Manual,First,2015,42125,74,5,4.621037736
418,Nissan,Micra,XV CVT,Coimbatore,Petrol,Automatic,First,2017,47052,75.94,5,7.015188679
419,Hyundai,i10,Sportz 1.2,Mumbai,Petrol,Manual,Second,2011,67000,78.9,5,3.176792453
421,Maruti,Swift,Dzire VDI,Pune,Diesel,Manual,First,2015,174889,74,5,4.503113208
422,Maruti,Alto,LXI,Pune,Petrol,Manual,First,2004,72135,46.3,5,0.9580188679
423,Maruti,Vitara,Brezza ZDi Plus Dual Tone,Delhi,Diesel,Manual,First,2017,17660,88.5,5,8.836831761
424,Honda,Accord,2.4 A/T,Pune,Petrol,Automatic,First,2009,120000,177.6,5,5.244339623
425,Chevrolet,Beat,LT,Pune,Petrol,Manual,First,2010,29629,76.8,5,2.080377358
427,Mercedes-Benz,GLC,220d 4MATIC Sport,Kochi,Diesel,Automatic,First,2017,34848,170,5,29.89122642
428,Mahindra,Xylo,D4 BSIV,Kolkata,Diesel,Manual,First,2013,61000,112,8,6.926603774
429,Datsun,GO,Plus T Petrol,Mumbai,Petrol,Manual,First,2015,21000,67,7,3.409528302
430,Jaguar,XF,2.2 Litre Luxury,Kochi,Diesel,Automatic,First,2015,27912,187.7,5,28.11481132
431,Maruti,SX4,VDI,Kochi,Diesel,Manual,First,2013,62909,88.8,5,4.183113208
432,Maruti,Celerio,VXI,Kochi,Petrol,Manual,First,2018,33140,67.04,5,4.229245283
433,Volkswagen,Vento,1.5 TDI Comfortline AT,Hyderabad,Diesel,Automatic,First,2014,75000,103.2,5,7.59754717
434,Ford,EcoSport,1.5 TDCi Titanium,Kochi,Diesel,Manual,First,2017,25571,98.59,5,8.569433962
436,Maruti,Ertiga,VDI,Kolkata,Diesel,Manual,First,2016,12020,88.76,7,7.005471698
437,Honda,Brio,VX AT,Mumbai,Petrol,Automatic,First,2014,36665,86.8,5,4.510283019
438,Mitsubishi,Pajero,Sport 4X2 AT,Coimbatore,Diesel,Automatic,First,2018,41502,175.56,7,35.12716981
439,Mercedes-Benz,E-Class,2009-2013 E250 CDI Blue Efficiency,Pune,Diesel,Automatic,First,2011,130000,203,5,10.02679245
440,Maruti,Swift,VDI Optional,Bangalore,Diesel,Manual,First,2017,51000,74,5,5.39990566
441,Hyundai,Accent,GLE,Pune,Petrol,Manual,Second,2008,103000,94,5,1.843301887
442,Audi,A4,2.0 TDI,Delhi,Diesel,Automatic,First,2012,70000,147.51,5,12.05946092
443,Honda,City,1.5 S MT,Delhi,Petrol,Manual,Second,2010,56239,118,5,3.421226415
444,BMW,3,Series 320d Sport,Ahmedabad,Diesel,Automatic,First,2016,40000,190,5,26.62688679
445,Renault,KWID,Climber 1.0 AMT,Kochi,Petrol,Automatic,First,2018,19964,67,5,4.443396226
446,Mahindra,Bolero,VLX CRDe,Coimbatore,Diesel,Manual,First,2012,72246,63,7,3.830754717
447,Hyundai,Creta,1.6 SX Diesel,Kolkata,Diesel,Manual,First,2018,15000,126.2,5,12.05339623
448,Tata,Nano,XT,Bangalore,Petrol,Manual,Fourth & Above,2016,14000,37.48,4,2.509811321
449,Volkswagen,Polo,1.2 MPI Highline,Pune,Petrol,Manual,First,2016,22764,74,5,5.71
450,Volkswagen,Passat,Diesel Highline 2.0 TDI,Pune,Diesel,Automatic,First,2012,65000,167.7,5,15.28358491
451,Isuzu,MU,7 4x2 HIPACK,Kolkata,Diesel,Manual,First,2016,45000,161,7,18.62396226
452,Mercedes-Benz,E-Class,2015-2017 E250 CDI Avantgarde,Coimbatore,Diesel,Automatic,First,2017,32090,204,5,34.44849057
453,Mahindra,XUV500,W8 2WD,Pune,Diesel,Manual,First,2014,83000,140,7,9.491981132
454,Mercedes-Benz,E-Class,2015-2017 E250 CDI Avantgarde,Delhi,Diesel,Automatic,First,2011,70000,204,5,9.392169811
455,Mahindra,XUV500,W8 2WD,Chennai,Diesel,Manual,First,2013,68000,140,7,9.906886792
456,Nissan,Sunny,2011-2014 XL,Jaipur,Petrol,Manual,First,2012,105000,97.7,5,3.595283019
457,Hyundai,Elantra,GT,Hyderabad,Petrol,Manual,First,2006,88000,127,5,2.506603774
458,Honda,Accord,VTi-L AT,Mumbai,Petrol,Automatic,Second,2007,93000,142,5,4.863773585
459,Honda,City,i DTEC SV,Delhi,Diesel,Manual,First,2014,107000,98.6,5,5.953113208
460,Toyota,Fortuner,4x4 MT,Pune,Diesel,Manual,First,2011,141844,168.5,7,8.020377358
461,Nissan,Micra,XV CVT,Coimbatore,Petrol,Automatic,First,2015,32469,76,5,6.004245283
462,Mahindra,XUV500,W6 2WD,Kochi,Diesel,Manual,First,2015,56318,140,7,13.26754717
463,Mini,Cooper,3 DOOR D,Coimbatore,Diesel,Automatic,First,2017,26002,113.98,4,21.41415094
464,Maruti,Swift,VDI BSIV,Pune,Diesel,Manual,First,2014,83000,74,5,4.976886792
465,Chevrolet,Beat,LS,Pune,Petrol,Manual,Second,2010,80000,79.4,5,2.095377358
466,Maruti,Baleno,Alpha 1.2,Chennai,Petrol,Manual,Second,2016,56474,83.1,5,5.919056604
467,Mercedes-Benz,B,Class B180 Sport,Mumbai,Petrol,Automatic,Second,2012,26000,120.69,5,12.10012579
468,Audi,Q5,2008-2012 2.0 TFSI Quattro,Mumbai,Petrol,Automatic,Second,2009,49000,208,5,8.275754717
469,Skoda,Laura,1.9 TDI AT Ambiente,Kochi,Diesel,Automatic,Second,2010,64132,105,5,4.64490566
470,Hyundai,Creta,1.6 CRDi SX Option,Hyderabad,Diesel,Manual,First,2016,41810,126.2,5,11.28632075
471,BMW,7,Series 730Ld,Mumbai,Diesel,Automatic,First,2013,60000,258,5,30.33575472
472,Mercedes-Benz,M-Class,ML 350 4Matic,Coimbatore,Diesel,Automatic,First,2016,22177,165,5,38.35801887
473,Ford,Figo,Diesel ZXI,Chennai,Diesel,Manual,First,2014,100000,68.05,5,3.557735849
474,Skoda,Laura,Ambiente 2.0 TDI CR AT,Pune,Diesel,Automatic,First,2012,75000,138.1,5,7.084433962
475,Hyundai,i20,1.4 CRDi Magna,Mumbai,Diesel,Manual,First,2011,68000,90,5,3.461415094
476,Toyota,Innova,2.5 G (Diesel) 7 Seater,Kochi,Diesel,Manual,First,2016,43518,100,7,8.633679245
477,Maruti,A-Star,AT Vxi Aktiv,Pune,Petrol,Automatic,First,2012,39100,66.1,5,2.476509434
478,Hyundai,Verna,1.6 VTVT,Delhi,Petrol,Manual,First,2011,58000,121.3,5,4.050471698
479,Honda,City,1.5 E MT,Mumbai,Petrol,Manual,First,2010,52000,118,5,3.216981132
480,BMW,3,Series 320d,Jaipur,Diesel,Automatic,First,2014,80000,170,5,20.60762972
481,Maruti,Zen,Estilo VXI BSIII,Jaipur,Petrol,Manual,Second,2006,96000,67.1,5,1.551037736
482,Skoda,Superb,Elegance 1.8 TSI AT,Delhi,Petrol,Automatic,First,2010,63000,157.75,5,5.168018868
483,Audi,Q3,2012-2015 35 TDI Quattro Premium,Hyderabad,Diesel,Automatic,First,2014,50000,174.33,5,27.71877358
484,Hyundai,EON,D Lite Plus,Hyderabad,Petrol,Manual,First,2014,15322,55.2,5,2.788301887
485,Honda,Brio,E MT,Jaipur,Petrol,Manual,First,2012,47000,86.8,5,3.368490566
486,Volkswagen,Vento,Diesel Highline,Chennai,Diesel,Manual,First,2011,76041,103.6,5,4.046792453
487,Hyundai,Accent,GLE,Kolkata,Petrol,Manual,First,2009,46000,94,5,1.869150943
488,Mahindra,Bolero,SLX,Jaipur,Diesel,Manual,Second,2013,160000,62.1,7,4.083584906
489,Maruti,Celerio,ZDi,Bangalore,Diesel,Manual,Second,2015,17000,47,5,3.034339623
490,Hyundai,Grand,i10 CRDi Magna,Hyderabad,Diesel,Manual,First,2014,56000,70,5,4.426415094
491,Hyundai,Getz,GVS,Mumbai,Petrol,Manual,First,2005,35000,61,5,1.259056604
492,Toyota,Innova,2.5 G (Diesel) 7 Seater,Coimbatore,Diesel,Manual,First,2015,54278,100.6,7,11.04188679
493,Hyundai,Xcent,1.2 CRDi SX,Kolkata,Diesel,Manual,First,2015,39000,73.97,5,4.115660377
494,Audi,A6,2011-2015 2.0 TDI Premium Plus,Bangalore,Diesel,Automatic,First,2013,40000,174.33,5,21.31981132
495,Ford,EcoSport,1.5 Ti VCT AT Titanium,Kolkata,Petrol,Automatic,First,2013,41000,110.4,5,7.567075472
496,BMW,5,Series 530i Sport Line,Kolkata,Petrol,Automatic,First,2011,30342,252,5,20.15896226
497,Honda,City,ZX GXi,Mumbai,Petrol,Manual,Second,2008,88000,78,5,1.835471698
498,Maruti,Wagon,R VXI 1.2,Chennai,Petrol,Manual,First,2018,9000,81.8,5,6.35009434
499,Maruti,Swift,Dzire VDi,Delhi,Diesel,Manual,First,2010,70000,73.9,5,3.041981132
500,Volkswagen,Polo,Petrol Highline 1.2L,Kolkata,Petrol,Manual,First,2011,46279,73.9,5,2.378113208
501,Maruti,Ritz,LDi,Pune,Diesel,Manual,Second,2016,105000,73.94,5,4.205471698
502,Chevrolet,Optra,Magnum 2.0 LT,Chennai,Diesel,Manual,First,2011,130000,123.7,5,6.229764151
503,Renault,KWID,RXL,Jaipur,Petrol,Manual,First,2017,30000,53.3,5,3.114433962
504,Volkswagen,Jetta,2013-2015 2.0L TDI Highline,Kolkata,Diesel,Manual,First,2013,54000,138.03,5,6.047641509
505,Ford,Figo,Diesel Titanium,Jaipur,Diesel,Manual,First,2010,65000,68,5,2.128301887
506,Maruti,Swift,Dzire VXi,Hyderabad,Petrol,Manual,First,2010,70000,85.8,5,3.161226415
507,Mercedes-Benz,E-Class,2015-2017 E250 CDI Avantgarde,Pune,Diesel,Automatic,First,2015,46000,204,5,31.35849057
508,Chevrolet,Spark,1.0 LS,Pune,Petrol,Manual,First,2007,113000,62,5,1.258867925
